x	t=0	t=50	t=100	t=150	t=200	t=250	t=300	t=350	t=400	t=438.4
60.5	1000	1111.28	1093.91	1085.46	1081.89	1070.62	1058.87	1052.21	1050.42	1050.34
61.5	1000	1090.66	1072.4	1064.02	1060.31	1048.93	1037.01	1030.19	1028.39	1028.34
62.5	1000	1070.06	1050.94	1042.64	1038.8	1027.37	1015.31	1008.35	1006.53	1006.52
63.5	1000	1049.48	1029.55	1021.32	1017.37	1005.93	993.767	986.683	984.842	984.873
64.5	1000	1028.93	1008.21	1000.08	996.028	984.607	972.381	965.189	963.331	963.406
65.5	1000	1008.42	986.937	978.907	974.769	963.414	951.154	943.868	941.996	942.116
66.5	1000	987.947	965.734	957.806	953.6	942.349	930.087	922.721	920.834	921.002
67.5	1000	967.518	944.603	936.779	932.523	921.414	909.179	901.747	899.847	900.065
68.5	1000	947.135	923.547	915.827	911.542	900.611	888.431	880.946	879.034	879.303
69.5	1000	926.802	902.568	894.952	890.66	879.941	867.843	860.318	858.394	858.717
70.5	1000	906.52	881.667	874.156	869.878	859.406	847.415	839.863	837.928	838.307
71.5	1000	886.29	860.848	853.44	849.201	839.007	827.147	819.579	817.634	818.072
72.5	1000	866.113	840.112	832.806	828.631	818.746	807.041	799.468	797.513	798.011
73.5	1000	845.989	819.461	812.254	808.17	798.624	787.095	779.527	777.564	778.126
74.5	1000	831.991	805.118	797.98	793.978	784.689	773.297	765.741	763.772	764.379
75.5	1000	821.381	794.263	787.176	783.235	774.137	762.849	755.302	753.329	753.97
76.5	1000	810.871	783.524	776.489	772.605	763.695	752.507	744.971	742.995	743.668
77.5	1000	800.457	772.899	765.914	762.088	753.359	742.271	734.745	732.768	733.472
78.5	1000	790.139	762.385	755.451	751.679	743.129	732.139	724.623	722.645	723.379
79.5	1000	779.913	751.982	745.097	741.378	733.002	722.107	714.603	712.625	713.387
80.5	1000	769.78	741.686	734.85	731.183	722.975	712.175	704.683	702.706	703.495
81.5	1000	759.736	731.495	724.708	721.09	713.048	702.341	694.861	692.886	693.7
82.5	1000	749.78	721.408	714.668	711.099	703.219	692.603	685.136	683.163	684.001
83.5	1000	739.911	711.422	704.73	701.207	693.485	682.958	675.505	673.535	674.397
84.5	1000	730.127	701.537	694.891	691.413	683.845	673.407	665.967	664.001	664.886
85.5	1000	720.427	691.749	685.149	681.715	674.298	663.946	656.521	654.56	655.465
86.5	1000	710.809	682.057	675.502	672.112	664.841	654.575	647.165	645.209	646.135
87.5	1000	701.272	672.461	665.95	662.601	655.474	645.293	637.898	635.948	636.892
88.5	1000	691.816	662.957	656.49	653.181	646.195	636.096	628.718	626.774	627.736
89.5	1000	682.438	653.545	647.121	643.852	637.003	626.986	619.623	617.687	618.666
90.5	1000	673.138	644.222	637.841	634.61	627.895	617.959	610.613	608.684	609.68
91.5	1000	663.914	634.988	628.649	625.456	618.872	609.015	601.687	599.766	600.776
92.5	1000	654.767	625.842	619.543	616.387	609.931	600.152	592.842	590.93	591.955
93.5	1000	645.693	616.781	610.523	607.402	601.072	591.37	584.078	582.176	583.213
94.5	1000	633.728	604.846	598.641	595.567	589.4	579.799	572.532	570.642	571.697
95.5	1000	616.521	587.638	581.539	578.582	572.523	563.005	555.777	553.923	554.989
96.5	1000	600.028	571.101	565.127	562.341	556.265	546.763	539.573	537.771	538.836
97.5	1000	584.214	555.205	549.37	546.809	540.606	531.054	523.901	522.166	523.22
98.5	1000	569.048	539.923	534.237	531.957	525.526	515.862	508.744	507.089	508.123
99.5	1000	554.501	525.23	519.699	517.752	511.01	501.171	494.084	492.524	493.529
100.5	1000	540.545	511.102	505.729	504.165	497.041	486.968	479.907	478.453	479.422
