Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
Separator porosity,50.8,,
Separator Bruggeman coefficient,N/A,,
Separator density [kg.m-3],N/A,,
Separator specific heat capacity [J.kg-1.K-1],N/A,,
Separator thermal conductivity [W.m-1.K-1],N/A,,
